FSIPost
Falmouth Scientific, Inc.
1140 Route 28A, PO Box 315
Cataumet, MA 02534-0315 U.S.A.
Phone: (508) 564 - 7640
FAX:   (508) 564 - 7643

Calibrated Data Text File: C:\deproas_meso\d2_7052.txt

    SCANS     PRES        TEMP        COND        OXCU        OXTM        FLUO        OBS        SAL*        DEN*        SV*        DEPTH*   
    898     -0.1000     22.7845     47.1186   1451.0000    165.0000      0.0000    614.0000     32.1890     21.8639   1525.8214     -0.0991
    899     -0.0607     22.8185     47.5797   1451.0000    165.0000      0.0000    614.0000     32.5167     22.1027   1526.2679     -0.0601
    900     -0.0368     22.8500     48.1973   1423.0000    165.0000      0.0000  16359.0000     32.9663     22.4346   1526.8409     -0.0365
    901      0.0039     22.8723     48.9775   1423.0000    165.0000      0.0000  16359.0000     33.5481     22.8694   1527.5349      0.0039
    902      0.0548     22.8947     49.8563   1423.0000    165.0000      0.0000  16359.0000     34.2070     23.3627   1528.3134      0.0544
    903      0.1120     22.9170     50.7950   1423.0000    165.0000      0.0000  16359.0000     34.9134     23.8923   1529.1442      0.1110
    904      0.1859     22.9280     51.5716   1423.0000    165.0000      0.0000  16359.0000     35.5052     24.3384   1529.8209      0.1844
    905      0.2308     22.9375     52.1650   1411.0000    165.0000      0.0000   1396.0000     35.9573     24.6790   1530.3408      0.2288
    906      0.2974     22.9460     52.5674   1411.0000    165.0000      0.0000   1396.0000     36.2627     24.9086   1530.6979      0.2948
    907      0.3378     22.9535     52.7740   1411.0000    165.0000      0.0000   1396.0000     36.4170     25.0237   1530.8866      0.3349
    908      0.4016     22.9620     52.8939   1411.0000    165.0000      0.0000   1396.0000     36.5031     25.0869   1531.0035      0.3982
    909      0.4797     22.9700     52.9796   1411.0000    165.0000      0.0000   1396.0000     36.5630     25.1304   1531.0907      0.4756
    910      0.5664     22.9760     53.0449   1411.0000    165.0000      0.0000   1396.0000     36.6088     25.1637   1531.1575      0.5615
    911      0.6189     22.9805     53.0991   1411.0000    165.0000      0.0000   1396.0000     36.6471     25.1918   1531.2118      0.6136
    912      0.6508     22.9830     53.1473   1411.0000    165.0000      0.0000   1396.0000     36.6825     25.2181   1531.2574      0.6453
    913      0.6702     22.9900     53.1730   1411.0000    165.0000      0.0000   1396.0000     36.6966     25.2268   1531.2909      0.6644
    914      0.6819     22.9970     53.1756   1411.0000    165.0000      0.0000   1396.0000     36.6928     25.2219   1531.3047      0.6761
    915      0.7284     23.0020     53.1642   1406.0000    165.0000      0.0000    108.0000     36.6797     25.2108   1531.3038      0.7221
    916      0.7566     23.0050     53.1439   1406.0000    165.0000      0.0000    108.0000     36.6614     25.1961   1531.2919      0.7501
    917      0.8130     23.0060     53.1182   1406.0000    165.0000      0.0000    108.0000     36.6406     25.1803   1531.2726      0.8060
    918      0.8472     23.0055     53.1345   1406.0000    165.0000      0.0000    108.0000     36.6537     25.1905   1531.2861      0.8400
    919      0.8680     23.0050     53.1771   1406.0000    165.0000      0.0000    108.0000     36.6871     25.2161   1531.3219      0.8606
    920      0.8806     23.0055     53.2213   1399.0000    165.0000      0.0000    166.0000     36.7211     25.2418   1531.3606      0.8730
    921      0.8882     23.0070     53.2545   1399.0000    165.0000      0.0000    166.0000     36.7457     25.2601   1531.3914      0.8806
    922      0.8929     23.0095     53.2675   1399.0000    165.0000      0.0000    166.0000     36.7537     25.2655   1531.4066      0.8852
    923      0.8563     23.0115     53.2766   1399.0000    165.0000      0.0000    166.0000     36.7591     25.2688   1531.4170      0.8490
    924      0.8342     23.0140     53.2833   1399.0000    165.0000      0.0000    166.0000     36.7622     25.2704   1531.4263      0.8270
    925      0.8207     23.0165     53.2881   1399.0000    165.0000      0.0000    166.0000     36.7639     25.2708   1531.4343      0.8137
    926      0.8126     23.0190     53.2911   1399.0000    165.0000      0.0000    166.0000     36.7641     25.2702   1531.4407      0.8056
    927      0.8076     23.0210     53.2921   1399.0000    165.0000      0.0000    166.0000     36.7632     25.2689   1531.4447      0.8007
    928      0.7653     23.0230     53.2919   1399.0000    165.0000      0.0000    166.0000     36.7613     25.2668   1531.4470      0.7587
    929      0.7396     23.0235     53.2910   1399.0000    165.0000      0.0000    166.0000     36.7602     25.2657   1531.4467      0.7333
    930      0.7240     23.0235     53.2897   1389.0000    164.0000      0.0000   1514.0000     36.7592     25.2649   1531.4453      0.7178
    931      0.6752     23.0235     53.2877   1389.0000    164.0000      0.0000   1514.0000     36.7577     25.2635   1531.4427      0.6694
    932      0.6456     23.0230     53.2853   1389.0000    164.0000      0.0000   1514.0000     36.7563     25.2624   1531.4395      0.6401
