FSIPost
Falmouth Scientific, Inc.
1140 Route 28A, PO Box 315
Cataumet, MA 02534-0315 U.S.A.
Phone: (508) 564 - 7640
FAX:   (508) 564 - 7643

Calibrated Data Text File: C:\deproas_meso\d2_7049.txt

    SCANS     PRES        TEMP        COND        OXCU        OXTM        FLUO        OBS        SAL*        DEN*        SV*        DEPTH*   
    597      0.0393     22.3751     45.6280   2021.0000    204.0000      0.0000      0.0000     31.3439     21.3390   1523.8323      0.0390
    598      0.1026     22.4196     46.1158   1847.0000    204.0000      0.0000    526.0000     31.6866     21.5865   1524.3253      0.1017
    599      0.1409     22.4536     46.6502   1847.0000    204.0000      0.0000    526.0000     32.0727     21.8698   1524.8376      0.1397
    600      0.2035     22.4766     47.1674   1847.0000    204.0000      0.0000    526.0000     32.4539     22.1526   1525.3163      0.2018
    601      0.2808     22.4991     47.6526   1847.0000    204.0000      0.0000    526.0000     32.8111     22.4175   1525.7676      0.2784
    602      0.3671     22.5171     48.1409   1847.0000    204.0000      0.0000    526.0000     33.1744     22.6883   1526.2139      0.3639
    603      0.4587     22.5301     48.5771   1847.0000    204.0000      0.0000    526.0000     33.5016     22.9331   1526.6077      0.4548
    604      0.5537     22.5396     48.9329   1847.0000    204.0000      0.0000    526.0000     33.7695     23.1342   1526.9275      0.5489
    605      0.6506     22.5446     49.1908   1847.0000    204.0000      0.0000    526.0000     33.9654     23.2817   1527.1567      0.6450
    606      0.7487     22.5501     49.4012   1847.0000    204.0000      0.0000    526.0000     34.1241     23.4010   1527.3466      0.7423
    607      0.8476     22.5541     49.5594   1847.0000    204.0000      0.0000    526.0000     34.2436     23.4910   1527.4897      0.8403
    608      0.9469     22.5581     49.6877   1826.0000    204.0000      0.0000   5250.0000     34.3400     23.5634   1527.6073      0.9388
    609      1.0858     22.5616     49.8008   1826.0000    204.0000      0.0000   5250.0000     34.4250     23.6275   1527.7119      1.0765
    610      1.2095     22.5656     49.9069   1826.0000    204.0000      0.0000   5250.0000     34.5041     23.6870   1527.8110      1.1991
    611      1.3238     22.5681     49.9822   1826.0000    204.0000      0.0000   5250.0000     34.5606     23.7296   1527.8813      1.3124
    612      1.3931     22.5716     50.0456   1826.0000    204.0000      0.0000   5250.0000     34.6070     23.7641   1527.9424      1.3812
    613      1.4745     22.5746     50.0986   1824.0000    205.0000      0.0000    823.0000     34.6458     23.7931   1527.9940      1.4619
    614      1.5632     22.5771     50.1425   1824.0000    205.0000      0.0000    823.0000     34.6779     23.8171   1528.0372      1.5498
    615      1.6564     22.5791     50.1782   1824.0000    205.0000      0.0000    823.0000     34.7040     23.8368   1528.0725      1.6422
    616      1.7129     22.5796     50.1995   1824.0000    205.0000      0.0000    823.0000     34.7201     23.8491   1528.0924      1.6982
    617      1.7865     22.5791     50.2049   1824.0000    205.0000      0.0000    823.0000     34.7247     23.8530   1528.0974      1.7712
    618      1.8705     22.5786     50.2055   1824.0000    205.0000      0.0000    823.0000     34.7255     23.8541   1528.0984      1.8545
    619      1.9608     22.5776     50.2074   1824.0000    205.0000      0.0000    823.0000     34.7277     23.8565   1528.0997      1.9440
    620      2.0549     22.5766     50.2144   1824.0000    205.0000      0.0000    823.0000     34.7340     23.8619   1528.1056      2.0373
    621      2.1120     22.5771     50.2258   1824.0000    205.0000      0.0000    823.0000     34.7424     23.8684   1528.1171      2.0939
    622      2.2253     22.5766     50.2358   1824.0000    205.0000      0.0000    823.0000     34.7505     23.8753   1528.1267      2.2062
    623      2.3727     22.5751     50.2478   1847.0000    204.0000      0.0000    667.0000     34.7610     23.8843   1528.1367      2.3524
    624      2.5015     22.5726     50.2641   1847.0000    204.0000      0.0000    667.0000     34.7756     23.8966   1528.1484      2.4801
    625      2.6583     22.5686     50.2862   1847.0000    204.0000      0.0000    667.0000     34.7960     23.9139   1528.1631      2.6355
    626      2.7928     22.5651     50.3028   1847.0000    204.0000      0.0000    667.0000     34.8116     23.9273   1528.1733      2.7688
    627      2.8743     22.5621     50.3278   1847.0000    204.0000      0.0000    667.0000     34.8334     23.9450   1528.1909      2.8496
    628      2.9631     22.5581     50.3586   1856.0000    204.0000      0.0000   1186.0000     34.8605     23.9672   1528.2119      2.9377
    629      3.0563     22.5541     50.3947   1856.0000    204.0000      0.0000   1186.0000     34.8918     23.9924   1528.2373      3.0301
    630      3.1522     22.5491     50.4350   1856.0000    204.0000      0.0000   1186.0000     34.9271     24.0211   1528.2648      3.1252
    631      3.2104     22.5476     50.6129   1856.0000    204.0000      0.0000   1186.0000     35.0668     24.1278   1528.4152      3.1828
    632      3.2456     22.5476     50.7291   1856.0000    204.0000      0.0000   1186.0000     35.1572     24.1966   1528.5150      3.2178
    633      3.2670     22.5471     50.7893   1856.0000    204.0000      0.0000   1186.0000     35.2046     24.2328   1528.5659      3.2390
    634      3.2800     22.5456     50.7979   1856.0000    204.0000      0.0000   1186.0000     35.2125     24.2393   1528.5709      3.2519
    635      3.3272     22.5431     50.7571   1856.0000    204.0000      0.0000   1186.0000     35.1827     24.2176   1528.5326      3.2987
    636      3.3952     22.5416     50.7808   1856.0000    204.0000      0.0000   1186.0000     35.2023     24.2332   1528.5514      3.3661
    637      3.3971     22.5406     50.8101   1856.0000    204.0000      0.0000   1186.0000     35.2259     24.2514   1528.5748      3.3679
    638      3.3982     22.5401     50.8734   1854.0000    205.0000      0.0000   3242.0000     35.2757     24.2894   1528.6282      3.3691
    639      3.3989     22.5406     50.9882   1854.0000    205.0000      0.0000   3242.0000     35.3648     24.3569   1528.7272      3.3698
    640      3.3994     22.5416     51.1648   1854.0000    205.0000      0.0000   3242.0000     35.5018     24.4606   1528.8801      3.3702
    641      3.3996     22.5411     51.2771   1854.0000    205.0000      0.0000   3242.0000     35.5898     24.5275   1528.9755      3.3704
    642      3.4391     22.5411     51.3475   1854.0000    205.0000      0.0000   3242.0000     35.6447     24.5695   1529.0364      3.4096
    643      3.4631     22.5421     51.3914   1863.0000    205.0000      0.0000  12813.0000     35.6782     24.5947   1529.0762      3.4334
    644      3.4776     22.5436     51.4173   1863.0000    205.0000      0.0000  12813.0000     35.6971     24.6087   1529.1011      3.4478
    645      3.4864     22.5466     51.4310   1863.0000    205.0000      0.0000  12813.0000     35.7054     24.6141   1529.1179      3.4565
    646      3.4918     22.5486     51.4404   1863.0000    205.0000      0.0000  12813.0000     35.7112     24.6180   1529.1295      3.4618
    647      3.4950     22.5506     51.4462   1863.0000    205.0000      0.0000  12813.0000     35.7140     24.6196   1529.1378      3.4650
    648      3.4970     22.5516     51.4497   1863.0000    205.0000      0.0000  12813.0000     35.7159     24.6208   1529.1426      3.4670
    649      3.4982     22.5526     51.4514   1863.0000    205.0000      0.0000  12813.0000     35.7164     24.6209   1529.1458      3.4681
    650      3.4989     22.5531     51.4525   1863.0000    205.0000      0.0000  12813.0000     35.7169     24.6210   1529.1475      3.4689
    651      3.4993     22.5536     51.4531   1863.0000    205.0000      0.0000  12813.0000     35.7169     24.6210   1529.1489      3.4693
    652      3.4996     22.5546     51.4527   1863.0000    205.0000      0.0000  12813.0000     35.7158     24.6198   1529.1503      3.4696
    653      3.4998     22.5551     51.4529   1859.0000    204.0000      0.0000   1578.0000     35.7155     24.6195   1529.1511      3.4697
    654      3.4998     22.5556     51.4537   1859.0000    204.0000      0.0000   1578.0000     35.7158     24.6195   1529.1527      3.4698
    655      3.4999     22.5561     51.4562   1859.0000    204.0000      0.0000   1578.0000     35.7173     24.6206   1529.1558      3.4699
    656      3.4999     22.5561     51.4573   1859.0000    204.0000      0.0000   1578.0000     35.7182     24.6212   1529.1567      3.4699
    657      3.5000     22.5561     51.4572   1859.0000    204.0000      0.0000   1578.0000     35.7181     24.6212   1529.1566      3.4699
    658      3.5000     22.5566     51.4564   1874.0000    204.0000      0.0000   3562.0000     35.7171     24.6202   1529.1567      3.4699
    659      3.5000     22.5571     51.4551   1874.0000    204.0000      0.0000   3562.0000     35.7156     24.6190   1529.1565      3.4700
    660      3.5000     22.5581     51.4535   1874.0000    204.0000      0.0000   3562.0000     35.7136     24.6171   1529.1567      3.4700
    661      3.5393     22.5576     51.4537   1874.0000    204.0000      0.0000   3562.0000     35.7141     24.6179   1529.1567      3.5090
    662      3.5239     22.5561     51.4547   1874.0000    204.0000      0.0000   3562.0000     35.7161     24.6197   1529.1548      3.4936
    663      3.5145     22.5551     51.4556   1874.0000    204.0000      0.0000   3562.0000     35.7177     24.6212   1529.1538      3.4843
    664      3.5088     22.5541     51.4570   1874.0000    204.0000      0.0000   3562.0000     35.7196     24.6229   1529.1532      3.4787
    665      3.5053     22.5531     51.4590   1874.0000    204.0000      0.0000   3562.0000     35.7219     24.6249   1529.1532      3.4752
    666      3.5032     22.5531     51.4453   1874.0000    204.0000      0.0000   3562.0000     35.7112     24.6168   1529.1414      3.4732
    667      3.5020     22.5531     51.3795   1874.0000    204.0000      0.0000   3562.0000     35.6599     24.5778   1529.0850      3.4719
    668      3.5012     22.5551     51.3239   1867.0000    205.0000      0.0000   2394.0000     35.6148     24.5430   1529.0406      3.4711
    669      3.5007     22.5576     51.3149   1867.0000    205.0000      0.0000   2394.0000     35.6058     24.5354   1529.0372      3.4707
    670      3.4611     22.5611     51.3744   1867.0000    205.0000      0.0000   2394.0000     35.6494     24.5673   1529.0934      3.4314
    671      3.4371     22.5616     51.4109   1867.0000    205.0000      0.0000   2394.0000     35.6774     24.5884   1529.1251      3.4076
    672      3.4225     22.5626     51.4330   1867.0000    205.0000      0.0000   2394.0000     35.6939     24.6006   1529.1455      3.3931
    673      3.4136     22.5631     51.4468   1873.0000    205.0000      0.0000   2935.0000     35.7043     24.6083   1529.1580      3.3843
    674      3.3689     22.5636     51.4552   1873.0000    205.0000      0.0000   2935.0000     35.7104     24.6126   1529.1653      3.3400
    675      3.3418     22.5636     51.4602   1873.0000    205.0000      0.0000   2935.0000     35.7144     24.6155   1529.1692      3.3131
    676      3.2860     22.5641     51.4645   1873.0000    205.0000      0.0000   2935.0000     35.7173     24.6173   1529.1727      3.2578
    677      3.2522     22.5646     51.4671   1873.0000    205.0000      0.0000   2935.0000     35.7189     24.6183   1529.1753      3.2243
    678      3.2316     22.5656     51.4691   1873.0000    205.0000      0.0000   2935.0000     35.7197     24.6184   1529.1782      3.2039
    679      3.2192     22.5666     51.4706   1873.0000    205.0000      0.0000   2935.0000     35.7201     24.6184   1529.1812      3.1916
    680      3.2116     22.5676     51.4724   1873.0000    205.0000      0.0000   2935.0000     35.7206     24.6185   1529.1842      3.1841
    681      3.2071     22.5681     51.4750   1873.0000    205.0000      0.0000   2935.0000     35.7223     24.6196   1529.1871      3.1795
    682      3.2043     22.5691     51.4762   1873.0000    205.0000      0.0000   2935.0000     35.7224     24.6194   1529.1898      3.1768
    683      3.2026     22.5701     51.4769   1883.0000    204.0000      0.0000   4330.0000     35.7221     24.6189   1529.1921      3.1751
    684      3.1622     22.5721     51.4782   1883.0000    204.0000      0.0000   4330.0000     35.7215     24.6177   1529.1958      3.1351
    685      3.1377     22.5746     51.4797   1883.0000    204.0000      0.0000   4330.0000     35.7206     24.6162   1529.2009      3.1108
    686      3.1229     22.5751     51.4806   1883.0000    204.0000      0.0000   4330.0000     35.7210     24.6162   1529.2023      3.0961
    687      3.1139     22.5756     51.4808   1883.0000    204.0000      0.0000   4330.0000     35.7207     24.6159   1529.2031      3.0872
    688      3.1084     22.5761     51.4809   1877.0000    205.0000      0.0000   1650.0000     35.7204     24.6154   1529.2040      3.0818
    689      3.1051     22.5766     51.4806   1877.0000    205.0000      0.0000   1650.0000     35.7197     24.6148   1529.2045      3.0785
    690      3.1031     22.5766     51.4796   1877.0000    205.0000      0.0000   1650.0000     35.7189     24.6142   1529.2036      3.0765
    691      3.1019     22.5771     51.4802   1877.0000    205.0000      0.0000   1650.0000     35.7190     24.6141   1529.2050      3.0753
    692      3.1011     22.5776     51.4801   1877.0000    205.0000      0.0000   1650.0000     35.7185     24.6136   1529.2057      3.0745
    693      3.0613     22.5781     51.4801   1877.0000    205.0000      0.0000   1650.0000     35.7181     24.6130   1529.2059      3.0351
    694      3.0766     22.5786     51.4801   1877.0000    205.0000      0.0000   1650.0000     35.7177     24.6126   1529.2069      3.0502
    695      3.0858     22.5786     51.4805   1877.0000    205.0000      0.0000   1650.0000     35.7180     24.6128   1529.2074      3.0593
    696      3.0914     22.5791     51.4807   1877.0000    205.0000      0.0000   1650.0000     35.7177     24.6125   1529.2086      3.0649
    697      3.0554     22.5791     51.4809   1877.0000    205.0000      0.0000   1650.0000     35.7179     24.6125   1529.2081      3.0292
    698      3.0336     22.5791     51.4813   1860.0000    205.0000      0.0000    944.0000     35.7183     24.6127   1529.2081      3.0076
    699      3.0204     22.5791     51.4816   1860.0000    205.0000      0.0000    944.0000     35.7185     24.6128   1529.2083      2.9945
    700      3.0517     22.5786     51.4822   1860.0000    205.0000      0.0000    944.0000     35.7193     24.6137   1529.2084      3.0255
    701      3.1101     22.5781     51.4825   1860.0000    205.0000      0.0000    944.0000     35.7200     24.6146   1529.2087      3.0834
    702      3.1454     22.5781     51.4827   1860.0000    205.0000      0.0000    944.0000     35.7201     24.6149   1529.2095      3.1185
    703      3.1669     22.5776     51.4829   1863.0000    204.0000      0.0000    657.0000     35.7206     24.6155   1529.2091      3.1397
    704      3.1799     22.5771     51.4826   1863.0000    204.0000      0.0000    657.0000     35.7208     24.6158   1529.2083      3.1526
    705      3.1485     22.5761     51.4816   1863.0000    204.0000      0.0000    657.0000     35.7209     24.6160   1529.2052      3.1215
    706      3.1688     22.5766     51.4818   1863.0000    204.0000      0.0000    657.0000     35.7206     24.6157   1529.2065      3.1416
    707      3.1810     22.5771     51.4819   1863.0000    204.0000      0.0000    657.0000     35.7203     24.6154   1529.2076      3.1538
    708      3.1885     22.5776     51.4816   1863.0000    204.0000      0.0000    657.0000     35.7196     24.6148   1529.2084      3.1611
    709      3.1930     22.5786     51.4818   1863.0000    204.0000      0.0000    657.0000     35.7189     24.6140   1529.2103      3.1656
    710      3.2351     22.5791     51.4823   1863.0000    204.0000      0.0000    657.0000     35.7189     24.6140   1529.2123      3.2074
    711      3.2606     22.5796     51.4830   1863.0000    204.0000      0.0000    657.0000     35.7191     24.6141   1529.2141      3.2327
    712      3.2761     22.5801     51.4834   1863.0000    204.0000      0.0000    657.0000     35.7190     24.6140   1529.2156      3.2480
    713      3.2855     22.5811     51.4837   1866.0000    204.0000      0.0000    704.0000     35.7184     24.6133   1529.2177      3.2573
    714      3.2912     22.5811     51.4838   1866.0000    204.0000      0.0000    704.0000     35.7185     24.6134   1529.2179      3.2630
    715      3.2947     22.5816     51.4843   1866.0000    204.0000      0.0000    704.0000     35.7184     24.6132   1529.2191      3.2664
    716      3.2574     22.5821     51.4846   1866.0000    204.0000      0.0000    704.0000     35.7183     24.6128   1529.2196      3.2295
    717      3.2742     22.5821     51.4844   1866.0000    204.0000      0.0000    704.0000     35.7181     24.6127   1529.2197      3.2461
    718      3.2843     22.5821     51.4839   1870.0000    204.0000      0.0000    665.0000     35.7177     24.6125   1529.2195      3.2562
    719      3.2905     22.5821     51.4832   1870.0000    204.0000      0.0000    665.0000     35.7171     24.6121   1529.2190      3.2623
    720      3.2942     22.5821     51.4823   1870.0000    204.0000      0.0000    665.0000     35.7165     24.6116   1529.2183      3.2660
    721      3.3359     22.5816     51.4830   1870.0000    204.0000      0.0000    665.0000     35.7174     24.6126   1529.2188      3.3072
    722      3.3217     22.5816     51.4834   1870.0000    204.0000      0.0000    665.0000     35.7177     24.6128   1529.2189      3.2932
    723      3.2738     22.5816     51.4837   1870.0000    204.0000      0.0000    665.0000     35.7180     24.6128   1529.2183      3.2458
    724      3.2448     22.5811     51.4838   1870.0000    204.0000      0.0000    665.0000     35.7185     24.6132   1529.2172      3.2169
    725      3.2665     22.5811     51.4835   1870.0000    204.0000      0.0000    665.0000     35.7183     24.6131   1529.2172      3.2385
    726      3.2797     22.5811     51.4837   1870.0000    204.0000      0.0000    665.0000     35.7184     24.6133   1529.2177      3.2515
    727      3.2483     22.5811     51.4843   1870.0000    204.0000      0.0000    665.0000     35.7188     24.6135   1529.2175      3.2205
    728      3.2293     22.5806     51.4846   1890.0000    204.0000      0.0000    891.0000     35.7195     24.6140   1529.2167      3.2016
    729      3.2178     22.5806     51.4848   1890.0000    204.0000      0.0000    891.0000     35.7197     24.6141   1529.2167      3.1902
    730      3.2108     22.5806     51.4849   1890.0000    204.0000      0.0000    891.0000     35.7197     24.6141   1529.2167      3.1832
    731      3.2459     22.5801     51.4850   1890.0000    204.0000      0.0000    891.0000     35.7202     24.6148   1529.2164      3.2180
    732      3.2278     22.5801     51.4846   1890.0000    204.0000      0.0000    891.0000     35.7199     24.6145   1529.2158      3.2001
    733      3.2169     22.5806     51.4844   1875.0000    205.0000      0.0000    648.0000     35.7194     24.6139   1529.2163      3.1893
    734      3.2102     22.5806     51.4839   1875.0000    205.0000      0.0000    648.0000     35.7189     24.6135   1529.2157      3.1827
    735      3.2456     22.5806     51.4832   1875.0000    205.0000      0.0000    648.0000     35.7184     24.6132   1529.2157      3.2177
    736      3.2276     22.5801     51.4835   1875.0000    205.0000      0.0000    648.0000     35.7191     24.6138   1529.2148      3.1999
    737      3.2168     22.5806     51.4837   1875.0000    205.0000      0.0000    648.0000     35.7188     24.6135   1529.2157      3.1892
    738      3.2102     22.5806     51.4839   1875.0000    205.0000      0.0000    648.0000     35.7189     24.6135   1529.2157      3.1826
    739      3.2062     22.5806     51.4839   1875.0000    205.0000      0.0000    648.0000     35.7190     24.6136   1529.2157      3.1787
    740      3.2037     22.5806     51.4844   1875.0000    205.0000      0.0000    648.0000     35.7194     24.6138   1529.2161      3.1762
    741      3.1629     22.5806     51.4847   1875.0000    205.0000      0.0000    648.0000     35.7196     24.6138   1529.2156      3.1358
    742      3.2169     22.5806     51.4852   1875.0000    205.0000      0.0000    648.0000     35.7200     24.6143   1529.2170      3.1893
    743      3.2496     22.5806     51.4855   1876.0000    204.0000      0.0000    625.0000     35.7202     24.6147   1529.2178      3.2217
    744      3.2694     22.5806     51.4861   1876.0000    204.0000      0.0000    625.0000     35.7207     24.6151   1529.2186      3.2414
    745      3.2421     22.5806     51.4865   1876.0000    204.0000      0.0000    625.0000     35.7210     24.6152   1529.2185      3.2143
    746      3.1862     22.5806     51.4863   1876.0000    204.0000      0.0000    625.0000     35.7209     24.6149   1529.2174      3.1589
    747      3.1916     22.5806     51.4862   1876.0000    204.0000      0.0000    625.0000     35.7208     24.6148   1529.2174      3.1642
    748      3.1949     22.5811     51.4862   1871.0000    205.0000      0.0000    713.0000     35.7203     24.6144   1529.2183      3.1675
    749      3.1969     22.5811     51.4861   1871.0000    205.0000      0.0000    713.0000     35.7203     24.6144   1529.2183      3.1695
    750      3.1981     22.5811     51.4861   1871.0000    205.0000      0.0000    713.0000     35.7203     24.6143   1529.2183      3.1707
    751      3.1989     22.5816     51.4865   1871.0000    205.0000      0.0000    713.0000     35.7202     24.6141   1529.2195      3.1714
    752      3.1993     22.5816     51.4867   1871.0000    205.0000      0.0000    713.0000     35.7203     24.6143   1529.2196      3.1719
    753      3.1602     22.5816     51.4869   1871.0000    205.0000      0.0000    713.0000     35.7205     24.6142   1529.2191      3.1331
    754      3.1759     22.5821     51.4869   1871.0000    205.0000      0.0000    713.0000     35.7201     24.6138   1529.2203      3.1486
    755      3.1854     22.5821     51.4870   1871.0000    205.0000      0.0000    713.0000     35.7202     24.6139   1529.2205      3.1580
    756      3.1911     22.5826     51.4874   1871.0000    205.0000      0.0000    713.0000     35.7201     24.6137   1529.2218      3.1637
    757      3.1946     22.5826     51.4877   1871.0000    205.0000      0.0000    713.0000     35.7203     24.6139   1529.2220      3.1672
    758      3.1967     22.5831     51.4878   1871.0000    204.0000      0.0000    723.0000     35.7200     24.6135   1529.2231      3.1693
    759      3.1980     22.5836     51.4879   1871.0000    204.0000      0.0000    723.0000     35.7197     24.6131   1529.2240      3.1706
    760      3.1988     22.5841     51.4884   1871.0000    204.0000      0.0000    723.0000     35.7196     24.6130   1529.2252      3.1714
    761      3.1993     22.5841     51.4890   1871.0000    204.0000      0.0000    723.0000     35.7201     24.6134   1529.2258      3.1718
    762      3.2389     22.5846     51.4894   1871.0000    204.0000      0.0000    723.0000     35.7200     24.6133   1529.2277      3.2111
    763      3.2629     22.5846     51.4897   1867.0000    204.0000      0.0000    640.0000     35.7202     24.6136   1529.2283      3.2349
    764      3.2775     22.5846     51.4898   1867.0000    204.0000      0.0000    640.0000     35.7203     24.6137   1529.2286      3.2494
    765      3.2864     22.5846     51.4895   1867.0000    204.0000      0.0000    640.0000     35.7201     24.6136   1529.2285      3.2582
    766      3.2917     22.5846     51.4905   1867.0000    204.0000      0.0000    640.0000     35.7208     24.6142   1529.2295      3.2635
    767      3.2950     22.5846     51.4911   1867.0000    204.0000      0.0000    640.0000     35.7213     24.6145   1529.2300      3.2667
    768      3.2970     22.5841     51.4915   1867.0000    204.0000      0.0000    640.0000     35.7220     24.6152   1529.2295      3.2687
    769      3.2982     22.5846     51.4917   1867.0000    204.0000      0.0000    640.0000     35.7218     24.6149   1529.2306      3.2699
    770      3.2989     22.5846     51.4915   1867.0000    204.0000      0.0000    640.0000     35.7216     24.6148   1529.2303      3.2706
    771      3.2600     22.5846     51.4917   1867.0000    204.0000      0.0000    640.0000     35.7218     24.6147   1529.2300      3.2320
    772      3.2364     22.5846     51.4915   1867.0000    204.0000      0.0000    640.0000     35.7216     24.6145   1529.2294      3.2086
    773      3.2221     22.5851     51.4909   1872.0000    204.0000      0.0000    562.0000     35.7207     24.6137   1529.2295      3.1944
    774      3.2527     22.5851     51.4902   1872.0000    204.0000      0.0000    562.0000     35.7202     24.6133   1529.2294      3.2248
    775      3.2713     22.5861     51.4893   1872.0000    204.0000      0.0000    562.0000     35.7187     24.6120   1529.2306      3.2433
    776      3.2433     22.5856     51.4884   1872.0000    204.0000      0.0000    562.0000     35.7184     24.6118   1529.2285      3.2154
    777      3.2262     22.5856     51.4883   1872.0000    204.0000      0.0000    562.0000     35.7183     24.6117   1529.2281      3.1986
    778      3.2553     22.5851     51.4886   1888.0000    204.0000      0.0000    607.0000     35.7189     24.6124   1529.2280      3.2273
    779      3.2335     22.5846     51.4892   1888.0000    204.0000      0.0000    607.0000     35.7198     24.6131   1529.2273      3.2058
    780      3.2203     22.5841     51.4899   1888.0000    204.0000      0.0000    607.0000     35.7208     24.6140   1529.2269      3.1927
    781      3.2123     22.5841     51.4916   1888.0000    204.0000      0.0000    607.0000     35.7221     24.6149   1529.2281      3.1848
    782      3.1681     22.5841     51.4929   1888.0000    204.0000      0.0000    607.0000     35.7232     24.6155   1529.2286      3.1409
    783      3.1413     22.5841     51.4938   1888.0000    204.0000      0.0000    607.0000     35.7238     24.6159   1529.2290      3.1144
    784      3.1251     22.5846     51.4943   1888.0000    204.0000      0.0000    607.0000     35.7238     24.6157   1529.2300      3.0983
    785      3.1152     22.5851     51.4950   1888.0000    204.0000      0.0000    607.0000     35.7240     24.6156   1529.2312      3.0885
    786      3.1092     22.5856     51.4962   1888.0000    204.0000      0.0000    607.0000     35.7245     24.6159   1529.2330      3.0825
    787      3.1056     22.5856     51.4973   1888.0000    204.0000      0.0000    607.0000     35.7254     24.6165   1529.2339      3.0789
    788      3.0640     22.5861     51.4984   1885.0000    205.0000      0.0000    618.0000     35.7258     24.6165   1529.2350      3.0378
    789      3.0388     22.5871     51.4994   1885.0000    205.0000      0.0000    618.0000     35.7258     24.6162   1529.2372      3.0128
    790      3.0236     22.5886     51.5009   1885.0000    205.0000      0.0000    618.0000     35.7257     24.6156   1529.2406      2.9976
    791      3.0143     22.5891     51.5017   1885.0000    205.0000      0.0000    618.0000     35.7260     24.6156   1529.2421      2.9884
    792      2.9693     22.5896     51.5026   1885.0000    205.0000      0.0000    618.0000     35.7263     24.6155   1529.2429      2.9438
    793      2.9420     22.5901     51.5036   1875.0000    204.0000      0.0000    627.0000     35.7267     24.6155   1529.2441      2.9168
    794      2.9255     22.5906     51.5038   1875.0000    204.0000      0.0000    627.0000     35.7264     24.6151   1529.2449      2.9004
    795      2.9155     22.5911     51.5035   1875.0000    204.0000      0.0000    627.0000     35.7258     24.6144   1529.2452      2.8905
    796      2.9487     22.5911     51.5029   1875.0000    204.0000      0.0000    627.0000     35.7253     24.6142   1529.2454      2.9234
    797      2.9296     22.5916     51.5022   1875.0000    204.0000      0.0000    627.0000     35.7243     24.6133   1529.2452      2.9044
    798      2.9179     22.5916     51.5014   1875.0000    204.0000      0.0000    627.0000     35.7237     24.6127   1529.2444      2.8929
    799      2.9109     22.5916     51.5005   1875.0000    204.0000      0.0000    627.0000     35.7230     24.6121   1529.2434      2.8859
