FSIPost
Falmouth Scientific, Inc.
1140 Route 28A, PO Box 315
Cataumet, MA 02534-0315 U.S.A.
Phone: (508) 564 - 7640
FAX:   (508) 564 - 7643

Calibrated Data Text File: C:\deproas_meso\d2_7051.txt

    SCANS     PRES        TEMP        COND        OXCU        OXTM        FLUO        OBS        SAL*        DEN*        SV*        DEPTH*   
   4512      0.2000     22.4946     50.7318   1634.0000    161.0000      0.0000      1.0000     35.2032     24.2334   1528.3776      0.1983
   4513      0.2787     22.5991     51.1262   1634.0000    161.0000      0.0000      1.0000     35.4259     24.3730   1528.8928      0.2763
   4514      0.3658     22.6796     51.4184   1634.0000    161.0000      0.0000      1.0000     35.5880     24.4735   1529.2789      0.3626
   4515      0.4186     22.7545     51.6693   1641.0000    160.0000   2077.0000  14815.0000     35.7220     24.5539   1529.6190      0.4150
   4516      0.4900     22.8255     51.9166   1641.0000    160.0000   2077.0000  14815.0000     35.8562     24.6356   1529.9489      0.4858
   4517      0.6120     22.8930     52.1830   1641.0000    160.0000   2077.0000  14815.0000     36.0078     24.7318   1530.2891      0.6067
   4518      0.6859     22.9095     52.4434   1641.0000    160.0000   2077.0000  14815.0000     36.1964     24.8705   1530.5389      0.6801
   4519      0.7308     22.9220     52.6678   1641.0000    160.0000   2077.0000  14815.0000     36.3604     24.9916   1530.7511      0.7246
   4520      0.7580     22.9315     52.8377   1619.0000    161.0000      0.0000   1329.0000     36.4847     25.0833   1530.9119      0.7515
   4521      0.7746     22.9390     52.9431   1619.0000    161.0000      0.0000   1329.0000     36.5604     25.1387   1531.0140      0.7679
   4522      0.7846     22.9440     52.9784   1619.0000    161.0000      0.0000   1329.0000     36.5836     25.1549   1531.0524      0.7778
   4523      0.7906     22.9475     52.9997   1619.0000    161.0000      0.0000   1329.0000     36.5973     25.1643   1531.0764      0.7839
   4524      0.8337     22.9495     53.0198   1619.0000    161.0000      0.0000   1329.0000     36.6112     25.1745   1531.0974      0.8265
   4525      0.8598     22.9510     53.0386   1619.0000    161.0000      0.0000   1329.0000     36.6246     25.1843   1531.1163      0.8524
   4526      0.8363     22.9525     53.0575   1619.0000    161.0000      0.0000   1329.0000     36.6381     25.1940   1531.1345      0.8291
   4527      0.7826     22.9540     53.0765   1619.0000    161.0000      0.0000   1329.0000     36.6516     25.2036   1531.1522      0.7759
   4528      0.7895     22.9555     53.0895   1619.0000    161.0000      0.0000   1329.0000     36.6605     25.2099   1531.1659      0.7827
   4529      0.7936     22.9585     53.0974   1619.0000    161.0000      0.0000   1329.0000     36.6642     25.2119   1531.1775      0.7868
